episode,epsilon,total_reward,avg_reward,total_shaped_reward,avg_shaped_reward,avg_loss
151,0.9272622224580573,1.0,0.5,-9.067217031958489,-4.533608515979244,0.013846565683239272
152,0.9267985913468284,0.0,0.0,-11.629255991243479,-5.8146279956217395,0.011993191047970737
153,0.926335192051155,1.0,0.5,-9.851597419997692,-4.925798709998846,0.011713521406054497
154,0.9258720244551295,2.0,1.0,-6.23506761308919,-3.117533806544595,0.010972508630449218
155,0.925409088442902,1.0,0.5,-11.506762204827975,-5.753381102413988,0.010761547357376132
156,0.9249463838986807,0.0,0.0,-13.342513486983734,-6.671256743491867,0.009706815533073886
157,0.9244839107067314,1.0,0.5,-8.15936866150487,-4.079684330752435,0.009680572897195816
158,0.9240216687513781,0.0,0.0,-10.665627352449807,-5.332813676224903,0.009684076580618109
159,0.9235596579170025,0.0,0.0,-13.046649768111468,-6.523324884055734,0.009454910054004619
160,0.923097878088044,1.0,0.5,-13.458622011734157,-6.729311005867078,0.009150694550148079
161,0.9226363291490001,0.0,0.0,-12.540884855886045,-6.270442427943022,0.011624694099383695
162,0.9221750109844257,1.0,0.5,-12.402428292864215,-6.2012141464321076,0.009619549974533063
163,0.9217139234789336,0.0,0.0,-11.701393253241315,-5.850696626620658,0.00936273343728057
164,0.9212530665171942,1.0,0.5,-10.226741731696213,-5.113370865848107,0.00914232211254005
165,0.9207924399839357,1.0,0.5,-9.697790150301532,-4.848895075150766,0.009321610906294414
166,0.9203320437639437,0.0,0.0,-12.896795068376083,-6.448397534188041,0.00959607017159994
167,0.9198718777420618,2.0,1.0,-10.26892500267971,-5.134462501339855,0.008538078602536449
168,0.9194119418031909,2.0,1.0,-7.099691137016102,-3.549845568508051,0.00877839327656797
169,0.9189522358322894,1.0,0.5,-9.86552852826063,-4.932764264130315,0.008533284910289304
170,0.9184927597143733,0.0,0.0,-12.932606456676917,-6.466303228338458,0.008946425039986414
171,0.9180335133345161,1.0,0.5,-6.1264397293167265,-3.0632198646583633,0.011396102769566433
172,0.917574496577849,0.0,0.0,-11.401518080374172,-5.700759040187086,0.010220488144883088
173,0.9171157093295601,1.0,0.5,-10.252251117617579,-5.1261255588087895,0.010362456547362463
174,0.9166571514748953,0.0,0.0,-10.683800409091734,-5.341900204545867,0.009705945698411336
175,0.916198822899158,0.0,0.0,-13.861616904563373,-6.930808452281687,0.009427785076467054
176,0.9157407234877085,1.0,0.5,-12.907586972111265,-6.453793486055632,0.009569181903664554
177,0.9152828531259647,1.0,0.5,-8.987283981165675,-4.493641990582837,0.008802228020504116
178,0.9148252116994018,0.0,0.0,-14.819947651886263,-7.409973825943132,0.008822567728348076
179,0.9143677990935521,1.0,0.5,-8.79876731199874,-4.39938365599937,0.008011507214645722
180,0.9139106151940054,0.0,0.0,-10.384149642567827,-5.192074821283914,0.008019243419569519
181,0.9134536598864085,0.0,0.0,-11.248100235396425,-5.6240501176982125,0.011218302943078535
182,0.9129969330564653,1.0,0.5,-13.093107759882887,-6.5465538799414436,0.00975845603272319
183,0.9125404345899372,1.0,0.5,-9.89879918698076,-4.94939959349038,0.009144568571687809
184,0.9120841643726423,0.0,0.0,-13.146393253241325,-6.573196626620662,0.008525885567734284
185,0.911628122290456,0.0,0.0,-11.75558186494048,-5.87779093247024,0.008650571800369237
186,0.9111723082293108,0.0,0.0,-10.46669647773178,-5.23334823886589,0.008324853114650718
187,0.9107167220751963,0.0,0.0,-12.77457870029959,-6.387289350149795,0.008238578693542097
