episode,epsilon,total_reward,avg_reward,avg_loss,steps
119,0.9422215132683146,0.0,0.0,0.001238084310150173,[]
120,0.9417504025116805,0.0,0.0,0.001431875815199289,[]
121,0.9412795273104247,0.0,0.0,0.001236137693964078,[]
122,0.9408088875467696,0.0,0.0,0.0011831381242622487,[]
123,0.9403384831029963,1.0,0.5,0.0012351943751231634,[]
124,0.9398683138614449,0.0,0.0,0.0012291941553121432,[]
125,0.9393983797045142,0.0,0.0,0.0013389339481779774,[]
126,0.938928680514662,0.0,0.0,0.0012857574739194076,[]
127,0.9384592161744048,0.0,0.0,0.0012244827296152446,[]
128,0.9379899865663176,0.0,0.0,0.0012117230804869906,[]
129,0.9375209915730345,0.0,0.0,0.0017224253132008015,[]
130,0.937052231077248,0.0,0.0,0.001447964960243553,[]
131,0.9365837049617094,0.0,0.0,0.0014937017650143909,[]
132,0.9361154131092286,0.0,0.0,0.0012324187999391662,[]
133,0.9356473554026741,2.0,1.0,0.0017049531445705464,[]
134,0.9351795317249728,0.0,0.0,0.0015662295284814068,[]
135,0.9347119419591103,0.0,0.0,0.0014993752947443032,[]
136,0.9342445859881309,0.0,0.0,0.0014312567399714941,[]
137,0.9337774636951368,0.0,0.0,0.0014017250198438498,[]
138,0.9333105749632893,0.0,0.0,0.0014145012909180619,[]
139,0.9328439196758077,1.0,0.5,0.00136810560028867,[]
140,0.9323774977159699,0.0,0.0,0.001284807817262065,[]
141,0.9319113089671119,0.0,0.0,0.0013340939125711365,[]
142,0.9314453533126285,0.0,0.0,0.0015129221456092116,[]
143,0.9309796306359722,1.0,0.5,0.0013834164740650782,[]
144,0.9305141408206543,0.0,0.0,0.0013950213812391407,[]
145,0.9300488837502441,1.0,0.5,0.001965710802303095,[]
146,0.9295838593083691,0.0,0.0,0.0019050935837107577,[]
147,0.929119067378715,1.0,0.5,0.001610825075934242,[]
148,0.9286545078450257,0.0,0.0,0.0014272580566882555,[]
149,0.9281901805911033,0.0,0.0,0.0016527203408934709,[]
150,0.9277260855008077,0.0,0.0,0.0015978260132085,[]
151,0.9272622224580573,0.0,0.0,0.0014029431615823081,[]
152,0.9267985913468284,0.0,0.0,0.0011861695863106952,[]
153,0.926335192051155,0.0,0.0,0.0012402616496962895,[]
154,0.9258720244551295,0.0,0.0,0.0012088374751121071,[]
155,0.925409088442902,1.0,0.5,0.001297268065973185,[]
156,0.9249463838986807,0.0,0.0,0.0012062040298146063,[]
157,0.9244839107067314,0.0,0.0,0.0011282632570613974,[]
158,0.9240216687513781,0.0,0.0,0.0012540034994682563,[]
159,0.9235596579170025,0.0,0.0,0.0012256281223380937,[]
160,0.923097878088044,0.0,0.0,0.0013742166121457039,[]
